Annee,Marque,Modele,Transmission,Couleur,Prix
2015,Kia,Sorento,automatic,black,21500
2015,Kia,Sorento,automatic,beige,21500
2015,Volvo,S60,automatic,black,27750
2015,Nissan,Altima,automatic,black,10900
2015,Kia,Optima,automatic,tan,17700
2015,Ford,Fusion,automatic,beige,12000
2015,Kia,Sorento,automatic,black,21500
2015,Nissan,Altima,automatic,black,14100
2015,Chevrolet,Impala,automatic,black,7200
2015,Audi,A3,automatic,black,23750
2015,Hyundai,Sonata,automatic,gray,8500
2015,Volvo,XC70,automatic,brown,32500
2015,Volvo,XC70,automatic,beige,32500
2015,Kia,Sorento,automatic,black,20750
2015,Kia,Sorento,automatic,black,21000
2015,Chevrolet,Suburban,automatic,black,59900
2015,Hyundai,Sonata,automatic,gray,10000
2015,Volvo,V60,automatic,beige,30000
2015,Volvo,V60,automatic,gray,30000
2015,Kia,Sorento,automatic,black,20750
2015,Volvo,V60,automatic,black,30000
2015,Nissan,Altima,automatic,black,11600
2015,Nissan,Altima,automatic,black,11500
2015,Kia,K900,automatic,black,40000
2015,Kia,Sorento,automatic,gray,20500
2015,Chevrolet,Malibu,automatic,black,9800
2015,Lexus,RX,,,
2015,Kia,Sorento,automatic,black,19300
2015,Kia,K900,automatic,gray,41000
2015,Audi,A3,automatic,black,17300
2015,Nissan,Versa,manual,black,11000
2015,Hyundai,Elantra,automatic,gray,10500
2015,Kia,Sorento,automatic,black,21250
2015,Audi,A3,automatic,black,25750
2015,Nissan,Versa,,,
2015,Volvo,V60,automatic,black,28000
2015,Kia,Sorento,automatic,black,22250
2015,Kia,Sorento,automatic,black,22500
2015,Hyundai,Elantra,automatic,gray,10600
2015,Kia,Sorento,automatic,black,21500
2015,Kia,Sorento,automatic,gray,20500
2015,Hyundai,Elantra,automatic,gray,10000
2015,Hyundai,Elantra,automatic,gray,13200
2015,Ford,Fusion,automatic,black,12000
2015,Kia,Sorento,automatic,beige,21000
2015,Volvo,V60,automatic,beige,30000
2015,Nissan,Altima,automatic,black,9500
2015,Hyundai,Elantra,automatic,gray,5800
2015,Kia,Sorento,automatic,black,21750
2015,Hyundai,Elantra,automatic,gray,9000
2015,Kia,Sorento,automatic,black,20500
2015,Kia,Sorento,automatic,black,20750
2015,Kia,Sorento,automatic,black,20750
2015,Volvo,V60,automatic,beige,30000
2015,Hyundai,Elantra,automatic,gray,6600
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Malibu,automatic,black,15200
2015,Chevrolet,Tahoe,automatic,black,43000
2015,Chevrolet,Suburban,automatic,black,47200
2015,Chevrolet,Suburban,automatic,black,47000
2015,Chevrolet,Tahoe,automatic,black,41900
2015,Chevrolet,Suburban,automatic,black,46600
2015,Chevrolet,Tahoe,automatic,black,4100
2015,Chevrolet,Silverado,,,
2015,chevrolet,capt,automatic,black,11000
2015,Chevrolet,Suburban,automatic,black,46400
2015,Chevrolet,Silverado,,,
2015,BMW,M4,automatic,black,64000
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Tahoe,automatic,tan,42000
2015,Chevrolet,Suburban,automatic,black,47000
2015,Audi,A3,automatic,black,24500
2015,Chevrolet,Malibu,automatic,black,15300
2015,Chevrolet,Tahoe,automatic,beige,41900
2015,Buick,LaCrosse,automatic,black,17200
2015,Chevrolet,Silverado,,,
2015,Audi,A3,automatic,black,22400
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Suburban,automatic,gray,37200
2015,Chevrolet,Tahoe,automatic,black,42750
2015,Chevrolet,Silverado,,,
2015,Chevrolet,Tahoe,automatic,gray,41500
2015,Chevrolet,Malibu,automatic,beige,12000
2015,Hyundai,Sonata,automatic,tan,11700
2015,Chevrolet,Tahoe,automatic,black,43200
2015,Chrysler,200,automatic,tan,9000
2015,Ford,F-250,,,
2015,Hyundai,Elantra,automatic,gray,4400
2015,Chevrolet,Tahoe,automatic,gray,42000
2015,Ford,Fusion,automatic,black,15200
2015,Ford,Fusion,automatic,black,5100
2015,Hyundai,Elantra,automatic,gray,13900
2015,Chevrolet,Tahoe,automatic,black,27400
2015,Chevrolet,Tahoe,automatic,black,28000
2015,Hyundai,Sonata,automatic,beige,5800
2015,Chrysler,200,automatic,black,12800
2015,Hyundai,Elantra,automatic,black,13900
2015,GMC,Yukon,automatic,black,37200
2015,Chevrolet,Tahoe,automatic,black,43000
2015,Ford,Fusion,automatic,black,5500
2015,Hyundai,Sonata,automatic,gray,8900
2015,Hyundai,Genesis,automatic,gray,36250
2015,Hyundai,Sonata,automatic,gray,13000
2015,Hyundai,Sonata,automatic,gray,9500
2015,Chevrolet,Tahoe,automatic,black,58500
2015,Chevrolet,Tahoe,automatic,black,35000
2015,Volvo,V60,automatic,beige,29500
2015,Mazda,CX-5,automatic,black,20500
2015,Nissan,Altima,automatic,black,15500
2015,Volvo,S60,automatic,beige,26000
2015,Volvo,S60,automatic,black,25500
2015,Nissan,Versa,automatic,black,12800
2015,Mazda,CX-5,automatic,black,19500
2015,Mazda,CX-5,automatic,black,15300
